SymbolName	G_InputsScaled.fCylPosition	SymbolName	G_InputsScaled.fSupplyPressure	SymbolName	G_InputsScaled.fReturnPressure	SymbolName	G_InputsScaled.fPistonPressure	SymbolName	G_InputsScaled.fRodPressure	SymbolName	G_Outputs.stCylinderOutputs.nValveOutput	SymbolName	G_ControlParameters.fControlSignal_Cyl	SymbolName	G_ControlParameters.fCylinder_ControlInput	SymbolName	G_ControlParameters.fVelRefCyl	SymbolName	G_ControlParameters.fPosRefCyl	SymbolName	G_ControlParameters.fPosErrorWinch	SymbolName	G_ControlParameters.fPosErrorCyl
NetID	192.168.0.10.1.1	NetID	192.168.0.10.1.1	NetID	192.168.0.10.1.1	NetID	192.168.0.10.1.1	NetID	192.168.0.10.1.1	NetID	192.168.0.10.1.1	NetID	192.168.0.10.1.1	NetID	192.168.0.10.1.1	NetID	192.168.0.10.1.1	NetID	192.168.0.10.1.1	NetID	192.168.0.10.1.1	NetID	192.168.0.10.1.1
Port	851	Port	851	Port	851	Port	851	Port	851	Port	851	Port	851	Port	851	Port	851	Port	851	Port	851	Port	851
Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0
ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1
BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff
Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)
Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1
Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0

133437468266870000	0.0002494854362876664	133437468266870000	-74.13606677449873	133437468266870000	0.075182348094119056	133437468266870000	0.5	133437468266870000	-6.34835352641377	133437468266870000	19660	133437468266870000	0	133437468266870000	0	133437468266870000	0	133437468266870000	0	133437468266870000	-0.66432602270660723	133437468266870000	-0.2494854362876664
133437468266970000	0.0002494854362876664	133437468266970000	-74.221518601031519	133437468266970000	0.069078646198919624	133437468266970000	0.5	133437468266970000	-6.2873165074617754	133437468266970000	19660	133437468266970000	0	133437468266970000	0	133437468266970000	0	133437468266970000	0	133437468266970000	-0.66432602270660723	133437468266970000	-0.2494854362876664
133437468267070000	0.00021829975675169422	133437468267070000	-74.160481582079527	133437468267070000	0.071520126956999386	133437468267070000	0.5	133437468267070000	-6.2751091036713769	133437468267070000	19660	133437468267070000	0	133437468267070000	0	133437468267070000	0	133437468267070000	0	133437468267070000	-0.66432602270660723	133437468267070000	-0.21829975675169422
133437468267170000	0.00023389259651968031	133437468267170000	-74.013992736594744	133437468267170000	0.081286049989318487	133437468267170000	0.5	133437468267170000	-6.2506942960905789	133437468267170000	19660	133437468267170000	0	133437468267170000	0	133437468267170000	0	133437468267170000	0	133437468267170000	-0.66432602270660723	133437468267170000	-0.23389259651968031
133437468267270000	0.00021829975675169422	133437468267270000	-74.013992736594744	133437468267270000	0.077623828852198873	133437468267270000	0.5	133437468267270000	-6.2629016998809783	133437468267270000	19660	133437468267270000	0	133437468267270000	0	133437468267270000	0	133437468267270000	0	133437468267270000	-0.66432602270660723	133437468267270000	-0.21829975675169422
133437468267370000	0.00021829975675169422	133437468267370000	-74.13606677449873	133437468267370000	0.069078646198919624	133437468267370000	0.5	133437468267370000	-6.3361461226233713	133437468267370000	19660	133437468267370000	0	133437468267370000	0	133437468267370000	0	133437468267370000	0	133437468267370000	-0.66432602270660723	133437468267370000	-0.21829975675169422
133437468267470000	0.00021829975675169422	133437468267470000	-74.13606677449873	133437468267470000	0.066637165440839863	133437468267470000	0.5	133437468267470000	-6.2262794885097819	133437468267470000	19660	133437468267470000	0	133437468267470000	0	133437468267470000	0	133437468267470000	0	133437468267470000	-0.66432602270660723	133437468267470000	-0.21829975675169422
133437468267570000	0.00021829975675169422	133437468267570000	-74.099444563127534	133437468267570000	0.071520126956999386	133437468267570000	0.5	133437468267570000	-6.12862025818659	133437468267570000	19660	133437468267570000	0	133437468267570000	0	133437468267570000	0	133437468267570000	0	133437468267570000	-0.66432602270660723	133437468267570000	-0.21829975675169422
133437468267670000	0.00021829975675169422	133437468267670000	-74.160481582079527	133437468267670000	0.080065309610278634	133437468267670000	0.5	133437468267670000	-6.2262794885097819	133437468267670000	19660	133437468267670000	0	133437468267670000	0	133437468267670000	0	133437468267670000	0	133437468267670000	-0.66432602270660723	133437468267670000	-0.21829975675169422
133437468267770000	0.0002494854362876664	133437468267770000	-74.184896389660324	133437468267770000	0.071520126956999386	133437468267770000	0.5	133437468267770000	-6.2873165074617754	133437468267770000	19660	133437468267770000	0	133437468267770000	0	133437468267770000	0	133437468267770000	0	133437468267770000	-0.66432602270660723	133437468267770000	-0.2494854362876664
